ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
12	./Images/Abraham Bloemaert/画像1.png	-48.75,52.5,60	0,0,1	0,1,0	-1,0,0	33.49986	-25.311	0.2	3	none(caption)	-1:-1	11
11	./Images/Abraham Bloemaert/001.jpg	-48.75,52.5,60	0,0,1	0,1,0	-1,0,0	-27.87292	-25.9095	0.2	2.3	Metal	-1:-1	10
2	./Images/Abraham Bloemaert/wrk_0_auth.png	-48.75,52.5,60	0,0,1	0,1,0	-1,0,0	-4.151163	-27.42149	0.2	1	Wooden_thin2	-1:-1	1
3	./Images/Abraham Bloemaert/wrk_0_desc.png	-48.75,52.5,60	0,0,1	0,1,0	-1,0,0	-4.1138	-35.01303	0.2	1	Wooden_thin2	-1:-1	2
4	./Images/Abraham Bloemaert/002.jpg	0,52.5,118.5	1,0,0	0,1,0	0,0,1	-30.70345	-25.5	0.2	1	Wooden_thin	-1:-1	3
5	./Images/Abraham Bloemaert/003.jpg	0,52.5,118.5	1,0,0	0,1,0	0,0,1	19.14524	-24.87	0.2	1	WoodenWhite	-1:-1	4
6	./Images/Abraham Bloemaert/wrk_1_auth.png	0,52.5,118.5	1,0,0	0,1,0	0,0,1	-17.79267	-25.5	0.2	0.6	Wooden_thin2	-1:-1	5
7	./Images/Abraham Bloemaert/wrk_2_auth.png	0,52.5,118.5	1,0,0	0,1,0	0,0,1	31.62184	-25.437	0.2	0.6	Wooden_thin2	-1:-1	6
9	./Images/Abraham Bloemaert/wrk_4_auth.png	48.75,52.5,60	0,0,-1	0,1,0	1,0,0	29.27479	-26.445	0.2	1	Wooden_thin2	-1:-1	8
10	./Images/Abraham Bloemaert/Abraham_Bloemaert_-_Niobe_beweent_haar_kinderen.jpg	48.75,52.5,60	0,0,-1	0,1,0	1,0,0	-5.342542	-24.14551	0.2	3.8	MetalGold	-1:-1	9
