id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-9.078351,8.704859,83.35896	-0.9949738,0,0.1001356		1.004993
2	3	1		6.672363,8.792657,46.56951	-0.9996355,0,0.02699631		0.7049933
3	4	2		-25.166,8.487648,27.4254	-0.9999362,0,0.0112918		1.75499
4	5	3		-25.56736,6.921272,50.25602	-0.9998167,0,0.01914436		8.999999
5	6	4		-4.315134,7.036885,65.80377	-0.2224511,0,0.9749438		8.099999
6	7	5		-27.89493,8.221238,105.1739	0.01652564,0,0.9998634		2.699998
7	8	6		19.71665,8.138966,106.4453	0.07405808,0,0.997254		2.999991
8	9	7		-7.206765,8.648025,80.16801	0.9973744,0,0.07241827		1.199991
9	10	8		19.80081,9.08834,74.67812	0.9984435,0,-0.05577278		-0.3000183
10	11	9		23.99241,7.179714,36.84582	0.9996088,0,0.0279696		7.199992
11	-1	10		-1.505737,7.978524,-4.844019	-0.01749981,0,0.9998469		3.599993
